AnswerId,QuestionId,SectionId,ResponseCode,ResponseLabel,Type
10020101,M002_01,,1,überhaupt nicht [1],Ordinal
10020102,M002_01,,2,Skalenwert 2,Ordinal
10020103,M002_01,,3,Skalenwert 3,Ordinal
10020104,M002_01,,4,Skalenwert 4,Ordinal
10020105,M002_01,,5,Skalenwert 5,Ordinal
10020106,M002_01,,6,Skalenwert 6,Ordinal
10020107,M002_01,,7,Skalenwert 7,Ordinal
10020108,M002_01,,8,Skalenwert 8,Ordinal
10020109,M002_01,,9,Skalenwert 9,Ordinal
10020110,M002_01,,10,sehr [10],Ordinal
10020111,M002_01,,-9,nicht beantwortet,Ordinal
10030101,M003_01,,1,überhaupt keine [1],Ordinal
10030102,M003_01,,2,Skalenwert 2,Ordinal
10030103,M003_01,,3,Skalenwert 3,Ordinal
10030104,M003_01,,4,Skalenwert 4,Ordinal
10030105,M003_01,,5,Skalenwert 5,Ordinal
10030106,M003_01,,6,Skalenwert 6,Ordinal
10030107,M003_01,,7,Skalenwert 7,Ordinal
10030108,M003_01,,8,Skalenwert 8,Ordinal
10030109,M003_01,,9,Skalenwert 9,Ordinal
10030110,M003_01,,10,alle [10],Ordinal
10030111,M003_01,,-9,nicht beantwortet,Ordinal
10040101,M004_01,,1,überhaupt nicht [1],Ordinal
10040102,M004_01,,2,Skalenwert 2,Ordinal
10040103,M004_01,,3,Skalenwert 3,Ordinal
10040104,M004_01,,4,Skalenwert 4,Ordinal
10040105,M004_01,,5,Skalenwert 5,Ordinal
10040106,M004_01,,6,Skalenwert 6,Ordinal
10040107,M004_01,,7,Skalenwert 7,Ordinal
10040108,M004_01,,8,Skalenwert 8,Ordinal
10040109,M004_01,,9,Skalenwert 9,Ordinal
10040110,M004_01,,10,sehr gut [10],Ordinal
10040111,M004_01,,-9,nicht beantwortet,Ordinal
10050001,M005,,1,Text,Nominal
10050002,M005,,2,Video,Nominal
10050003,M005,,3,Quiz,Nominal
10050004,M005,,-9,nicht beantwortet,Nominal
10060101,M006_01,,1,sehr schlecht [1],Ordinal
10060102,M006_01,,2,Skalenwert 2,Ordinal
10060103,M006_01,,3,Skalenwert 3,Ordinal
10060104,M006_01,,4,Skalenwert 4,Ordinal
10060105,M006_01,,5,Skalenwert 5,Ordinal
10060106,M006_01,,6,Skalenwert 6,Ordinal
10060107,M006_01,,7,Skalenwert 7,Ordinal
10060108,M006_01,,8,Skalenwert 8,Ordinal
10060109,M006_01,,9,Skalenwert 9,Ordinal
10060110,M006_01,,10,sehr gut [10],Ordinal
10060111,M006_01,,-9,nicht beantwortet,Ordinal
10100101,M010_01,,1,überhaupt nicht [1],Ordinal
