question,questionnaire,questionnaireLabel,questionText,answer,responseCode,responseLabel,rawResponseValue,frequency,questionnaire_short,question_short,answer_short,answer_display,question_total,percentage_within_question
http://digistrucmed.org/questionnaire#M008_01,http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,Freitext W�nsche: Hier k�nnen Sie Ihre Antwort verfassen,http://digistrucmed.org/questionnaire#10080102,TEXT,No recorded response,NO_RECORDED_RESPONSE,105,ME1,M008_01,10080102,No recorded response,166,63.25
http://digistrucmed.org/questionnaire#M005,http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,Medienart,http://digistrucmed.org/questionnaire#10050001,1,Text,1,88,ME1,M005,10050001,Text,166,53.01
http://digistrucmed.org/questionnaire#SU01_04,http://digistrucmed.org/questionnaire#SUS,SUS,"System Usability Scale (SUS): Ich denke, ich w�rde die Unterst�tzung einer technisch versierten Person ben�tigen, um die Lernplattform benutzen zu k�nnen. (umgepolt)",http://digistrucmed.org/questionnaire#20010405,5,trifft gar nicht zu,5,28,SUS,SU01_04,20010405,trifft gar nicht zu,53,52.83
http://digistrucmed.org/questionnaire#UM07,http://digistrucmed.org/questionnaire#uMARS,uMARS,B2,http://digistrucmed.org/questionnaire#30070004,4,4<tab>Benutzung ist leicht erlernbar oder die Lernplattform weist klare Instruktionen zur Benutzung auf,4,26,uMARS,UM07,30070004,4<tab>Benutzung ist leicht erlernbar oder die Lernplattform weist klare Instruktionen zur Benutzung auf,54,48.15
http://digistrucmed.org/questionnaire#UM10,http://digistrucmed.org/questionnaire#uMARS,uMARS,C2,http://digistrucmed.org/questionnaire#30100004,4,4<tab>Hohe Qualit�t der Grafiken und gute Aufl�sung des visuellen Designs - �berwiegend proportional und einheitlich im Stil,4,26,uMARS,UM10,30100004,4<tab>Hohe Qualit�t der Grafiken und gute Aufl�sung des visuellen Designs - �berwiegend proportional und einheitlich im Stil,54,48.15
http://digistrucmed.org/questionnaire#SU01_02,http://digistrucmed.org/questionnaire#SUS,SUS,System Usability Scale (SUS): Ich finde die Lernplattform unn�tig komplex. (umgepolt),http://digistrucmed.org/questionnaire#20010205,5,trifft gar nicht zu,5,25,SUS,SU01_02,20010205,trifft gar nicht zu,53,47.17
http://digistrucmed.org/questionnaire#UM09,http://digistrucmed.org/questionnaire#uMARS,uMARS,C1,http://digistrucmed.org/questionnaire#30090004,4,"4<tab>Gutes Design - �berwiegend klar; Optionen k�nnen ausgew�hlt, gefunden, gesehen und gelesen werden.",4,25,uMARS,UM09,30090004,"4<tab>Gutes Design - �berwiegend klar; Optionen k�nnen ausgew�hlt, gefunden, gesehen und gelesen werden.",54,46.3
http://digistrucmed.org/questionnaire#SU01_08,http://digistrucmed.org/questionnaire#SUS,SUS,System Usability Scale (SUS): Ich fand die Lernplattform sehr umst�ndlich zu nutzen. (umgepolt),http://digistrucmed.org/questionnaire#20010805,5,trifft gar nicht zu,5,24,SUS,SU01_08,20010805,trifft gar nicht zu,53,45.28
http://digistrucmed.org/questionnaire#UM03,http://digistrucmed.org/questionnaire#uMARS,uMARS,A3,http://digistrucmed.org/questionnaire#30030003,3,"3<tab>Grundlegende interaktive Funktionen, angemessene Funktionalit�t",3,24,uMARS,UM03,30030003,"3<tab>Grundlegende interaktive Funktionen, angemessene Funktionalit�t",54,44.44
http://digistrucmed.org/questionnaire#UM12,http://digistrucmed.org/questionnaire#uMARS,uMARS,D1,http://digistrucmed.org/questionnaire#30120005,4,"4<tab>Relevant, geeignet, zusammenh�ngend, korrekt",4,23,uMARS,UM12,30120005,"4<tab>Relevant, geeignet, zusammenh�ngend, korrekt",54,42.59
http://digistrucmed.org/questionnaire#SU01_03,http://digistrucmed.org/questionnaire#SUS,SUS,"System Usability Scale (SUS): Ich finde, die Lernplattform ist einfach zu benutzen.",http://digistrucmed.org/questionnaire#20010305,5,trifft voll zu,5,22,SUS,SU01_03,20010305,trifft voll zu,53,41.51
http://digistrucmed.org/questionnaire#UM14,http://digistrucmed.org/questionnaire#uMARS,uMARS,D3,http://digistrucmed.org/questionnaire#30140005,4,"4<tab>Meistens klar, logisch und richtig, mit unerheblichen/vernachl�ssigbaren Problemen",4,22,uMARS,UM14,30140005,"4<tab>Meistens klar, logisch und richtig, mit unerheblichen/vernachl�ssigbaren Problemen",54,40.74
http://digistrucmed.org/questionnaire#UM15,http://digistrucmed.org/questionnaire#uMARS,uMARS,D4,http://digistrucmed.org/questionnaire#30150006,5,5<tab>Stammt definitiv aus einer legitimen/spezialisierten Quelle,5,22,uMARS,UM15,30150006,5<tab>Stammt definitiv aus einer legitimen/spezialisierten Quelle,54,40.74
http://digistrucmed.org/questionnaire#UM19,http://digistrucmed.org/questionnaire#uMARS,uMARS,E4,http://digistrucmed.org/questionnaire#30190004,4,4,4,22,uMARS,UM19,30190004,4,54,40.74
http://digistrucmed.org/questionnaire#UM13,http://digistrucmed.org/questionnaire#uMARS,uMARS,D2,http://digistrucmed.org/questionnaire#30130005,4,"4<tab>Bietet eine gro�e Menge an Informationen, hat L�cken oder unn�tige Details oder bietet keine weiteren Hinweise auf Literatur zum Vertiefen",4,22,uMARS,UM13,30130005,"4<tab>Bietet eine gro�e Menge an Informationen, hat L�cken oder unn�tige Details oder bietet keine weiteren Hinweise auf Literatur zum Vertiefen",54,40.74
http://digistrucmed.org/questionnaire#UM17,http://digistrucmed.org/questionnaire#uMARS,uMARS,E2,http://digistrucmed.org/questionnaire#30170003,3,3<tab>3-10,3,22,uMARS,UM17,30170003,3<tab>3-10,54,40.74
http://digistrucmed.org/questionnaire#M007_01,http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,Freitext positiv: Hier k�nnen Sie Ihre Antwort verfassen,http://digistrucmed.org/questionnaire#10070102,TEXT,No recorded response,NO_RECORDED_RESPONSE,67,ME1,M007_01,10070102,No recorded response,166,40.36
http://digistrucmed.org/questionnaire#SU01_10,http://digistrucmed.org/questionnaire#SUS,SUS,"System Usability Scale (SUS): Ich musste eine Menge lernen, bevor ich mit der Lernplattform zurechtkam. (umgepolt)",http://digistrucmed.org/questionnaire#20011005,5,trifft gar nicht zu,5,21,SUS,SU01_10,20011005,trifft gar nicht zu,53,39.62
http://digistrucmed.org/questionnaire#UM11,http://digistrucmed.org/questionnaire#uMARS,uMARS,C3,http://digistrucmed.org/questionnaire#30110004,4,"4<tab>Hoher visueller Anreiz - makellose Grafiken, einheitliches und professionelles Design",4,21,uMARS,UM11,30110004,"4<tab>Hoher visueller Anreiz - makellose Grafiken, einheitliches und professionelles Design",54,38.89
http://digistrucmed.org/questionnaire#UM20,http://digistrucmed.org/questionnaire#uMARS,uMARS,F1,http://digistrucmed.org/questionnaire#30200005,5,5 Stimme sehr zu,5,21,uMARS,UM20,30200005,5 Stimme sehr zu,54,38.89
http://digistrucmed.org/questionnaire#SU01_09,http://digistrucmed.org/questionnaire#SUS,SUS,System Usability Scale (SUS): Ich f�hlte mich sehr sicher bei der Benutzung der Lernplattform.,http://digistrucmed.org/questionnaire#20010905,5,trifft voll zu,5,20,SUS,SU01_09,20010905,trifft voll zu,53,37.74
http://digistrucmed.org/questionnaire#SU01_01,http://digistrucmed.org/questionnaire#SUS,SUS,"System Usability Scale (SUS): Ich denke, ich w�rde die Lernplattform gerne h�ufiger benutzen.",http://digistrucmed.org/questionnaire#20010103,3,Likert response 3,3,20,SUS,SU01_01,20010103,Likert response 3,53,37.74
http://digistrucmed.org/questionnaire#UM01,http://digistrucmed.org/questionnaire#uMARS,uMARS,A1,http://digistrucmed.org/questionnaire#30010002,3,"3 OK, unterhaltsam genug um sich f�r eine kurze Zeit mit der Lernplattform zu besch�ftigen (< 5 Minuten)",3,20,uMARS,UM01,30010002,"3 OK, unterhaltsam genug um sich f�r eine kurze Zeit mit der Lernplattform zu besch�ftigen (< 5 Minuten)",54,37.04
http://digistrucmed.org/questionnaire#UM16,http://digistrucmed.org/questionnaire#uMARS,uMARS,E1,http://digistrucmed.org/questionnaire#30160005,5,5<tab>Ich w�rde die Lernplattform jedem empfehlen,5,20,uMARS,UM16,30160005,5<tab>Ich w�rde die Lernplattform jedem empfehlen,54,37.04
http://digistrucmed.org/questionnaire#UM08,http://digistrucmed.org/questionnaire#uMARS,uMARS,B3,http://digistrucmed.org/questionnaire#30080005,5,"5<tab>Sehr logisch, einfach, klar und intuitive Men�f�hrung. Bietet Verkn�pfungen zum schnellen Wechsel zwischen verschiedenen Bereichen/Men�punkten an",5,20,uMARS,UM08,30080005,"5<tab>Sehr logisch, einfach, klar und intuitive Men�f�hrung. Bietet Verkn�pfungen zum schnellen Wechsel zwischen verschiedenen Bereichen/Men�punkten an",54,37.04
http://digistrucmed.org/questionnaire#UM06,http://digistrucmed.org/questionnaire#uMARS,uMARS,B1,http://digistrucmed.org/questionnaire#30060005,5,"5<tab>Die Lernplattform arbeitet fehlerfrei und schnell; keine technischen Fehler, oder � falls zutreffend � enth�lt einen Fortschrittsbalken",5,20,uMARS,UM06,30060005,"5<tab>Die Lernplattform arbeitet fehlerfrei und schnell; keine technischen Fehler, oder � falls zutreffend � enth�lt einen Fortschrittsbalken",54,37.04
http://digistrucmed.org/questionnaire#UM21,http://digistrucmed.org/questionnaire#uMARS,uMARS,F2,http://digistrucmed.org/questionnaire#30210005,5,5 Stimme sehr zu,5,19,uMARS,UM21,30210005,5 Stimme sehr zu,54,35.19
http://digistrucmed.org/questionnaire#UM04,http://digistrucmed.org/questionnaire#uMARS,uMARS,A4,http://digistrucmed.org/questionnaire#30040005,5,"5<tab>Sehr zielgruppenspezifisch, keine Probleme",5,18,uMARS,UM04,30040005,"5<tab>Sehr zielgruppenspezifisch, keine Probleme",54,33.33
http://digistrucmed.org/questionnaire#UM02,http://digistrucmed.org/questionnaire#uMARS,uMARS,A2,http://digistrucmed.org/questionnaire#30020005,5,"5<tab>�beraus interessant, so dass man zur wiederholten Nutzung der Lernplattform angeregt wird",5,18,uMARS,UM02,30020005,"5<tab>�beraus interessant, so dass man zur wiederholten Nutzung der Lernplattform angeregt wird",54,33.33
http://digistrucmed.org/questionnaire#SU01_05,http://digistrucmed.org/questionnaire#SUS,SUS,"System Usability Scale (SUS): Ich finde, die verschiedenen Funktionen in diesem Programm sind gut integriert.",http://digistrucmed.org/questionnaire#20010504,4,Likert response 4,4,17,SUS,SU01_05,20010504,Likert response 4,53,32.08
http://digistrucmed.org/questionnaire#SU01_06,http://digistrucmed.org/questionnaire#SUS,SUS,"System Usability Scale (SUS): Ich denke, es gibt zu viele Inkonsistenzen auf der Lernplattform. (umgepolt)",http://digistrucmed.org/questionnaire#20010604,4,Likert response 4,4,17,SUS,SU01_06,20010604,Likert response 4,53,32.08
http://digistrucmed.org/questionnaire#UM24,http://digistrucmed.org/questionnaire#uMARS,uMARS,F5,http://digistrucmed.org/questionnaire#30240004,4,4,4,17,uMARS,UM24,30240004,4,54,31.48
http://digistrucmed.org/questionnaire#SU01_07,http://digistrucmed.org/questionnaire#SUS,SUS,"System Usability Scale (SUS): Ich k�nnte mir vorstellen, dass die meisten Personen sehr schnell lernen w�rden mit diesem Programm umzugehen.",http://digistrucmed.org/questionnaire#20010704,4,Likert response 4,4,16,SUS,SU01_07,20010704,Likert response 4,53,30.19
http://digistrucmed.org/questionnaire#UM18,http://digistrucmed.org/questionnaire#uMARS,uMARS,E3,http://digistrucmed.org/questionnaire#30180003,3,3,3,16,uMARS,UM18,30180003,3,54,29.63
http://digistrucmed.org/questionnaire#UM25,http://digistrucmed.org/questionnaire#uMARS,uMARS,F6,http://digistrucmed.org/questionnaire#30250003,3,3,3,16,uMARS,UM25,30250003,3,54,29.63
http://digistrucmed.org/questionnaire#UM23,http://digistrucmed.org/questionnaire#uMARS,uMARS,F4,http://digistrucmed.org/questionnaire#30230004,4,4,4,16,uMARS,UM23,30230004,4,54,29.63
http://digistrucmed.org/questionnaire#UM22,http://digistrucmed.org/questionnaire#uMARS,uMARS,F3,http://digistrucmed.org/questionnaire#30220004,4,4,4,15,uMARS,UM22,30220004,4,54,27.78
http://digistrucmed.org/questionnaire#M003_01,http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,Fragenbeantwortung: Wurden all Ihre Fragen zum Thema ausreichend beantwortet?,http://digistrucmed.org/questionnaire#10030110,10,alle [10],10,66,ME1,M003_01,10030110,alle [10],261,25.29
http://digistrucmed.org/questionnaire#M002_01,http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,wie Hilfreich: Wie hilfreich fanden Sie die Inhalte des Moduls?,http://digistrucmed.org/questionnaire#10020110,10,sehr [10],10,61,ME1,M002_01,10020110,sehr [10],266,22.93
